Kods,Nosaukums,Līmenis,Saistītās klasif.
1,latvietis / latviete,1,
2,lietuvietis / lietuviete,1,
3,igaunis / igauniete,1,
4,amerikānis / amerikāniete,1,
5,austrālietis / austrāliete,1,
6,kanādietis / kanādiete,1,
7,anglis / angliete,1,
8,vācietis / vāciete,1,
9,zviedrs / zviedriete,1,
10,lībietis / lībiete,1,
11,armēnis / armēniete,1,
12,azerbaidžānis / azerbaidžāniete,1,
13,baltkrievs / baltkrieviete,1,
14,gruzīns / gruzīniete,1,
15,kazahs / kazahiete,1,
16,kirgīzs / kirgīziete,1,
17,krievs / krieviete,1,
18,moldāvs / moldāviete,1,
19,tadžiks / tadžikiete,1,
20,turkmēnis / turkmēniete,1,
21,ukrainis / ukrainiete,1,
22,uzbeks / uzbekiete,1,
23,albānis / albāniete,1,
25,austrietis / austriete,1,
27,bulgārs / bulgāriete,1,
29,čehs / čehiete,1,
30,dānis / dāniete,1,
32,francūzis / francūziete,1,
33,grieķis / grieķiete,1,
34,horvāts / horvātiete,1,
35,islandietis / islandiete,1,
36,itālis / itāliete,1,
37,īrs / īriete,1,
39,luksemburgietis / luksemburgiete,1,
40,maķedonietis / maķedoniete,1,
44,norvēģis / norvēģiete,1,
45,polis / poliete,1,
46,portugālis / portugāliete,1,
47,rumānis / rumāniete,1,
49,slovāks / slovākiete,1,
50,slovēnis / slovēniete,1,
51,soms / somiete,1,
52,spānis / spāniete,1,
53,šveicietis / šveiciete,1,
54,ungārs / ungāriete,1,
56,afgānis / afgāniete,1,
57,arābs / arābiete,1,
66,irākietis / irākiete,1,
68,ebrejs / ebrejiete,1,
69,japānis / japāniete,1,
75,korejietis / korejiete,1,
78,ķīnietis / ķīniete,1,
80,libānietis / libāniete,1,
81,malajietis / malajiete,1,
84,mongolis / mongoliete,1,
90,sīrietis / sīriete,1,
94,turks / turciete,1,
95,vjetnamietis / vjetnamiete,1,
97,argentīnietis / argentīniete,1,
102,bolīvietis / bolīviete,1,
103,brazīlietis / brazīliete,1,
104,čīlietis / čīliete,1,
107,ekvadorietis / ekvadoriete,1,
114,kolumbietis / kolumbiete,1,
115,kostarikietis / kostarikiete,1,
116,kubietis / kubiete,1,
117,meksikānis / meksikāniete,1,
120,peruānis / peruāniete,1,
127,urugvajietis / urugvajiete,1,
128,venecuēlietis / venecuēliete,1,
129,alžīrietis / alžīriete,1,
141,ēģiptietis / ēģiptiete,1,
155,Lībijas arābs / Lībijas arābiete,1,
176,tunisietis / tunisiete,1,
182,jaunzēlandietis / jaunzēlandiete,1,
200,abhāzs / abhāziete,1,
201,adigejietis / adigejiete,1,
202,afrikands / afrikande,1,
203,avārs / avāriete,1,
204,balkārs / balkāriete,1,
205,basks / baskiete,1,
206,baškīrs / baškīriete,1,
207,bretonis / bretoniete,1,
208,burjats / burjatiete,1,
209,čečens / čečeniete,1,
210,čerkess / čerkesiete,1,
211,čigāns / čigāniete,1,
212,čuvašs / čuvašiete,1,
213,dargins / darginiete,1,
214,elzasietis / elzasiete,1,
215,flāms / flāmiete,1,
216,gagauzs / gagauziete,1,
217,galisietis / galisiete,1,
218,holandietis / holandiete,1,
219,ingušs / ingušiete,1,
220,jakuts / jakutiete,1,
221,kabardietis / kabardiete,1,
222,kalmiks / kalmikiete,1,
223,karakalpaks/ karakalpakiete,1,
224,karačajietis / karačajiete,1,
225,karēlis / karēliete,1,
226,katalānis / katalāniete,1,
227,komietis / komiete,1,
228,Krimas tatārs / Krimas tatāriete,1,
229,kumiks / kumikiete,1,
230,kurds / kurdiete,1,
231,laks / lakiete,1,
232,lezgīns / lezgīniete,1,
234,marietis / mariete,1,
235,melnkalnietis / melnkalniete,1,
236,mordvietis / mordviete,1,
237,bosnietis / bosniete,1,
238,osetīns / osetīniete,1,
239,retoromānis / retoromāniete,1,
240,serbs / serbiete,1,
241,skots / skotiete,1,
242,tatārs / tatāriete,1,
243,tuvietis / tuviete,1,
244,udmurts / udmurtiete,1,
245,valonis / valoniete,1,
246,velsietis / velsiete,1,
250,aguls / aguliete,1,
251,altajietis / altajiete,1,
252,asīrietis / asīriete,1,
253,bengālis / bengāliete,1,
254,cahurs / cahuriete,1,
255,fērietis / fēriete,1,
256,hakasietis / hakasiete,1,
257,hants / hantiete,1,
258,ižors / ižoriete,1,
259,komietis permietis / komiete permiete,1,
260,šors / šoriete,1,
261,tats / tatiete,1,
262,uigurs / uiguriete,1,
263,vepss / vepsiete,1,
264,evenks / evenkiete,1,
265,ņencs / ņenciete,1,
266,nogajs / nogajiete,1,
267,singālis / singāliete,1,
268,abāzs / abāziete,1,
269,dungans / dunganiete,1,
270,halhs / halhiete,1,
271,karaīms / karaīmiete,1,
272,korjaks / korjakiete,1,
273,laosietis / laosiete,1,
274,manss / mansiete,1,
275,panamietis / panamiete,1,
276,rutuls / rutuliete,1,
277,persietis / persiete,1,
278,sāms / sāmiete,1,
279,salvadorietis / salvadoriete,1,
280,selkups / selkupiete,1,
281,tabasarans / tabasaraniete,1,
282,uds / udiete,1,
283,čukčs / čukčiete,1,
284,moss / mosiete,1,
285,beninietis / beniniete,1,
286,nagaibaks / nagaibakiete,1,
287,malagass / malagasiete,1,
288,irānis / irāniete,1,
289,teleuts / teleutiete,1,
290,hindustānis / hindustāniete,1,
291,jezīds / jezīdiete,1,
292,farss / farsiete,1,
293,hauss / hausiete,1,
294,krimčaks / krimčakiete,1,
295,indietis / indiete,1,
296,kands / kandiete,1,
297,tališs / tališiete,1,
298,nūbietis / nūbiete,1,
299,dolgāns / dolgāniete,1,
300,evens / eveniete,1,
301,beludžs / beludžiete,1,
302,udehs / udehiete,1,
303,nanajs / nanajiete,1,
304,adžārs / adžāriete,1,
305,sinds / sindiete,1,
306,lazs / laziete,1,
307,pandžabietis / pandžabiete,1,
308,marokānis / marokāniete,1,
309,maltietis / maltiete,1,
310,nepālietis / nepāliete,1,
311,lībietis (līvs) / lībiete (līviete),1,
312,kostarikānis / kostarikāniete,1,
313,čigāns (roms) / čigāniete (romiete),1,
314,kurds jezīds / kurdiete jezīdiete,1,
315,nigērietis / nigēriete,1,
316,puštuns / puštuniete,1,
317,hazārs / hazāriete,1,
318,bakongs / bakongiete,1,
319,oroms / oromiete,1,
320,amhars / amhariete,1,
321,Palestīnas arābs / Palestīnas arābiete,1,
322,berbers / berberiete,1,
323,tuaregs / tuaregiete,1,
324,jorubs / jorubiete,1,
325,igbo / igbo,1,
326,hutu / hutu,1,
327,tutsi / tutsi,1,
328,dinks / dinkiete,1,
329,tamils / tamiliete,1,
330,aimaks / aimakiete,1,
995,neizvēlēta / neizvēlēta,1,
996,nezināma / nezināma,1,
